SchoolName,EmployedBarPassageRequiredFTLT,EmployedBarPassageRequiredFTST,EmployedBarPassageRequiredPTLT,EmployedBarPassageRequiredPTST,EmployedBarPassageRequiredNumber,EmployedJDAdvantageFTLT,EmployedJDAdvantageFTST,EmployedJDAdvantagePTLT,EmployedJDAdvantagePTST,EmployedJDAdvantageNumber,EmployedProfessionPositionFTLT,EmployedProfessionPositionFTST,EmployedProfessionPositionPTLT,EmployedProfessionPositionPTST,EmployedProfessionPositionNumber,EmployedNonProfessionPositionFTLT,EmployedNonProfessionPositionFTST,EmployedNonProfessionPositionPTLT,EmployedNonProfessionPositionPTST,EmployedNonProfessionPositionNumber,EmployedUndeterminableFTLT,EmployedUndeterminableFTST,EmployedUndeterminablePTLT,EmployedUndeterminablePTST,EmployedUndeterminableNumber,EmployedPursuingGraduateDegreeNumber,UnEmployedStartDateDeferredNumber,UnEmployedNotSeekingNumber,UnEmployedSeekingNumber,EmploymentStatusUnknownNumber,TotalGraduatesNumber,Funded_BarPassgeFullTimeLongTerm,Funded_BarPassgeFullTimeShortTerm,Funded_BarPassgePartTimeLongTerm,Funded_BarPassgePartTimeShortTerm,Funded_BarPassgeTotalEmployed,Funded_JDAdvantageFullTimeLongTerm,Funded_JDAdvantageFullTimeShortTerm,Funded_JDAdvantagePartTimeLongTerm,Funded_JDAdvantagePartTimeShortTerm,Funded_JDAdvantageTotalEmployed,Funded_ProfessionFullTimeLongTerm,Funded_ProfessionFullTimeShortTerm,Funded_ProfessionPartTimeLongTerm,Funded_ProfessionPartTimeShortTerm,Funded_ProfessionTotalEmployed,Funded_NonProfessionFullTimeLongTerm,Funded_NonProfessionFullTimeShortTerm,Funded_NonProfessionPartTimeLongTerm,Funded_NonProfessionPartTimeShortTerm,Funded_NonProfessionTotalEmployed,Funded_TotFullTimeLongTerm,Funded_TotFullTimeShortTerm,Funded_TotPartTimeLongTerm,Funded_TotPartTimeShortTerm,Funded_TotTotalEmployed,Solo-FTLT,Solo-FTST,Solo-PTLT,Solo-PTST,Solo,2-10-FTLT,2-10-FTST,2-10-PTLT,2-10-PTST,10-Feb,11-25-FTLT,11-25-FTST,11-25-PTLT,11-25-PTST,25-Nov,26-50-FTLT,26-50-FTST,26-50-PTLT,26-50-PTST,26-50,51-100-FTLT,51-100-FTST,51-100-PTLT,51-100-PTST,51-100,101-250-FTLT,101-250-FTST,101-250-PTLT,101-250-PTST,101-250,251-500-FTLT,251-500-FTST,251-500-PTLT,251-500-PTST,251-500,501-FTLT,501-FTST,501-PTLT,501-PTST,501-PLUS,Unknown-FTLT,Unknown-FTST,Unknown-PTLT,Unknown-PTST,Unknown,BusinessIndustry-FTLT,BusinessIndustry-FTST,BusinessIndustry-PTLT,BusinessIndustry-PTST,BusinessIndustry,Government-FTLT,Government-FTST,Government-PTLT,Government-PTST,Government,PublicInterest-FTLT,PublicInterest-FTST,PublicInterest-PTLT,PublicInterest-PTST,PublicInterest,Federal-FTLT,Federal-FTST,Federal-PTLT,Federal-PTST,Federal,StateLocal-FTLT,StateLocal-FTST,StateLocal-PTLT,StateLocal-PTST,StateLocal,Other-FTLT,Other-FTST,Other-PTLT,Other-PTST,Other,Academia-FTLT,Academia-FTST,Academia-PTLT,Academia-PTST,Academia,UnknownEmployerType-FTLT,UnknownEmployerType-FTST,UnknownEmployerType-PTLT,UnknownEmployerType-PTST,UnknownEmployerType,Total-FTLT,Total-FTST,Total-PTLT,Total-PTST,Total,FirstLargestEmployment,FirstLargestEmploymentNumber,SecondLargestEmployment,SecondLargestEmploymentNumber,ThirdLargestEmployment,ThirdLargestEmploymentNumber,EmployedInForeignCountries
"GEORGIA, UNIVERSITY OF",161,2,6,3,172,17,3,2,1,23,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,2,6,5,19,2,234,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,37,0,2,1,40,15,0,2,1,18,9,0,0,0,9,1,0,0,0,1,5,0,0,0,5,4,0,1,0,5,16,0,0,0,16,1,0,0,0,1,28,2,3,0,33,17,1,0,0,18,14,0,0,0,14,21,1,0,0,22,11,0,0,0,11,0,0,0,0,0,2,0,1,2,5,0,0,0,0,0,182,5,9,4,200,Georgia,157,District Of Columbia,7,North Carolina,7,1
GOLDEN GATE UNIVERSITY,52,15,11,9,87,14,3,5,3,25,9,4,1,0,14,0,0,4,1,5,0,0,0,0,0,4,16,2,66,9,228,1,10,0,4,15,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,1,11,0,6,18,1,0,0,0,1,21,2,11,3,37,9,0,1,0,10,3,0,0,0,3,2,0,0,0,2,2,0,0,0,2,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,23,6,7,2,38,7,9,1,1,18,4,4,1,5,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,1,75,22,21,13,131,California,112,Arizona,2,New Jersey,2,2
GONZAGA UNIVERSITY,103,4,5,1,113,13,2,3,1,19,4,0,1,0,5,5,0,0,0,5,0,0,0,0,0,7,1,1,10,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,52,1,3,2,58,8,1,0,0,9,4,0,0,0,4,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,19,2,3,0,24,16,2,1,0,19,5,0,1,0,6,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,125,6,9,2,142,Washington,89,Utah,8,Colorado,7,0
HAMLINE UNIVERSITY,83,8,1,1,93,45,3,8,0,56,2,0,2,0,4,2,0,6,0,8,0,0,0,0,0,1,3,13,6,1,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,7,30,0,1,0,31,2,1,2,0,5,3,0,1,0,4,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,36,8,11,1,56,21,1,0,0,22,6,1,0,0,7,1,0,0,0,1,20,0,0,0,20,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,132,11,17,1,161,Minnesota,128,Wisconsin,6,Colorado,3,0
HARVARD UNIVERSITY,505,3,0,1,509,44,1,0,0,45,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,8,0,1,12,1,578,11,0,0,0,11,10,1,0,0,11,0,0,0,0,0,0,0,0,0,0,21,1,0,0,22,0,0,0,0,0,4,0,0,1,5,1,0,0,0,1,3,0,0,0,3,1,0,0,0,1,13,0,0,0,13,42,0,0,0,42,263,0,0,0,263,0,0,0,0,0,28,0,0,1,29,28,1,0,0,29,41,2,0,0,43,98,0,0,0,98,18,0,0,0,18,4,0,0,0,4,6,1,0,0,7,0,0,0,0,0,550,4,0,2,556,New York,197,California,70,District of Columbia,65,22
"HAWAII, UNIVERSITY OF",53,8,0,1,62,9,2,0,1,12,10,2,1,1,14,1,1,0,0,2,0,0,0,0,0,1,3,3,7,0,104,2,0,0,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,13,0,1,1,15,2,0,0,0,2,4,0,0,0,4,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,9,11,5,0,1,17,6,0,0,0,6,0,1,0,0,1,18,6,0,0,24,2,0,0,0,2,3,0,0,1,4,0,0,0,0,0,73,13,1,3,90,Hawaii,81,South Carolina,1,Virginia,1,6
HOFSTRA UNIVERSITY,155,9,5,8,177,38,3,4,7,52,3,0,0,0,3,0,1,0,4,5,0,0,0,0,0,3,2,3,67,7,319,0,6,0,2,8,0,1,0,5,6,0,0,0,0,0,0,0,0,0,0,0,7,0,7,14,4,1,4,0,9,63,0,2,5,70,21,0,1,1,23,8,0,0,0,8,9,0,0,0,9,8,0,0,0,8,2,0,0,0,2,7,0,0,0,7,3,0,2,0,5,31,3,0,4,38,25,4,0,1,30,8,2,0,3,13,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,4,6,4,2,0,1,7,196,13,9,19,237,New York,187,New Jersey,8,District of Columbia,7,4
"HOUSTON, UNIVERSITY OF",173,0,6,0,179,34,0,0,0,34,9,1,0,0,10,1,0,0,0,1,1,0,0,0,1,5,2,3,31,0,266,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,5,0,0,0,5,45,0,3,0,48,18,0,0,0,18,6,0,0,0,6,8,0,1,0,9,5,0,0,0,5,16,0,0,0,16,29,0,0,0,29,3,0,0,0,3,50,1,1,0,52,17,0,1,0,18,7,0,0,0,7,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,4,0,0,0,4,1,0,0,0,1,218,1,6,0,225,Texas,209,California,7,New York,2,3
HOWARD UNIVERSITY,69,5,0,0,74,22,2,0,1,25,15,1,0,1,17,0,0,0,0,0,0,0,0,0,0,1,0,1,14,6,138,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,7,0,0,1,8,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3,12,0,0,0,12,0,0,0,0,0,26,5,0,0,31,27,3,0,0,30,7,0,0,0,7,3,0,0,0,3,11,0,0,0,11,2,0,0,0,2,4,0,0,1,5,0,0,0,0,0,106,8,0,2,116,District Of Columbia,43,New York,23,Maryland,14,2
"IDAHO, UNIVERSITY OF",73,3,2,2,80,13,2,1,0,16,2,0,0,0,2,3,0,1,1,5,0,0,0,0,0,0,2,4,7,1,117,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,9,29,2,1,2,34,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,2,1,20,16,0,0,0,16,1,0,1,0,2,2,0,0,0,2,14,0,0,0,14,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,91,5,4,3,103,Idaho,49,Washington,16,Utah,8,0
"ILLINOIS, UNIVERSITY OF",168,4,2,4,178,14,2,1,3,20,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,2,2,20,3,231,20,0,0,0,20,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,24,0,0,0,24,1,0,0,0,1,29,0,3,2,34,7,0,0,2,9,9,1,0,0,10,8,0,0,0,8,7,0,0,0,7,11,0,0,0,11,39,0,0,0,39,1,0,0,0,1,12,4,0,1,17,27,2,0,0,29,11,0,0,1,12,8,0,0,0,8,4,0,0,0,4,0,0,0,0,0,8,0,0,1,9,0,0,0,0,0,182,7,3,7,199,Illinois,138,New York,13,California,6,2
INDIANA UNIVERSITY - BLOOMINGTON,147,2,2,8,159,34,1,0,1,36,3,0,0,0,3,4,0,1,0,5,0,0,0,0,0,2,2,3,15,1,226,1,0,0,6,7,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,7,10,5,0,0,1,6,18,0,1,1,20,10,0,0,0,10,10,0,0,0,10,8,0,0,0,8,8,0,0,0,8,10,0,0,0,10,12,0,0,0,12,5,0,0,1,6,37,1,2,0,40,31,0,0,2,33,9,1,0,1,11,7,1,0,0,8,13,0,0,2,15,0,0,0,0,0,5,0,0,1,6,0,0,0,0,0,188,3,3,9,203,Indiana,77,Illinois,33,District of Columbia,11,1
INDIANA UNIVERSITY - INDIANAPOLIS,133,1,0,0,134,49,4,10,1,64,22,1,1,1,25,1,0,2,0,3,0,0,0,0,0,0,0,4,26,1,257,1,0,0,0,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2,1,0,1,4,10,0,0,0,10,42,0,5,0,47,17,1,1,0,19,7,0,0,0,7,1,0,0,0,1,4,0,0,0,4,4,0,0,0,4,10,0,0,0,10,0,0,0,0,0,47,3,3,0,53,42,1,2,0,45,4,0,1,0,5,1,0,0,0,1,7,0,0,0,7,0,0,0,0,0,9,1,0,2,12,0,0,1,0,1,205,6,13,2,226,Indiana,195,Illinois,6,Kentucky,4,1
INTER AMERICAN UNIVERSITY OF PUERTO RICO,59,2,0,2,63,8,4,1,23,36,45,0,2,3,50,1,0,0,0,1,0,0,0,0,0,2,0,24,41,6,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,10,23,25,2,0,8,35,6,1,0,1,8,3,0,0,1,4,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,3,7,46,21,0,0,0,21,0,0,0,0,0,4,0,0,0,4,2,0,0,0,2,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,113,6,3,28,150,Puerto Rico,146,Georgia,1,Texas,1,1
"IOWA, UNIVERSITY OF",146,0,6,0,152,11,1,6,2,20,1,0,2,0,3,0,0,4,0,4,0,0,0,0,0,2,0,2,7,0,190,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,30,0,3,0,33,12,0,0,0,12,3,0,0,0,3,8,0,0,1,9,7,0,0,0,7,8,0,0,0,8,12,0,0,0,12,0,0,1,0,1,22,1,8,1,32,13,0,2,0,15,8,0,1,0,9,12,0,0,0,12,21,0,1,0,22,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,158,1,18,2,179,Iowa,65,Illinois,21,Minnesota,18,1
JOHN MARSHALL LAW SCHOOL,231,12,15,2,260,58,7,14,4,83,12,1,1,0,14,2,1,4,0,7,0,0,0,0,0,8,4,10,48,12,446,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,13,0,1,0,14,107,3,18,2,130,33,1,2,1,37,18,0,0,1,19,11,0,0,0,11,5,0,0,0,5,2,0,0,0,2,10,0,0,0,10,0,0,0,0,0,39,15,9,0,63,50,0,1,0,51,7,1,0,0,8,2,0,0,0,2,4,0,1,0,5,0,0,0,0,0,2,1,2,2,7,0,0,0,0,0,303,21,34,6,364,Illinois,318,California,3,Georgia,3,1
"KANSAS, UNIVERSITY OF",111,8,3,0,122,22,1,0,1,24,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,2,20,0,173,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,0,0,8,28,0,2,0,30,7,0,0,0,7,11,0,0,0,11,5,0,0,0,5,1,0,0,0,1,5,1,0,0,6,9,2,0,0,11,4,1,0,0,5,23,4,1,0,28,20,0,0,0,20,6,0,0,0,6,2,0,0,0,2,4,0,0,0,4,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,135,9,3,1,148,Kansas,74,Missouri,35,Colorado,6,3
"KENTUCKY, UNIVERSITY OF",99,1,1,0,101,13,0,0,1,14,3,0,1,0,4,2,0,0,1,3,0,0,0,0,0,3,0,3,5,0,133,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,5,23,0,0,0,23,10,0,0,0,10,6,0,0,0,6,0,0,0,0,0,4,0,0,0,4,7,0,0,0,7,5,0,0,0,5,0,0,0,0,0,12,0,0,1,13,18,0,1,0,19,1,0,0,1,2,7,0,0,0,7,17,1,0,0,18,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,117,1,2,2,122,Kentucky,88,Tennessee,4,District Of Columbia,3,1
LEWIS AND CLARK COLLEGE,144,2,4,5,155,21,3,1,1,26,7,0,1,3,11,1,2,2,5,10,0,0,0,0,0,5,0,6,33,4,250,15,0,1,0,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,1,0,17,14,0,0,2,16,32,1,2,3,38,9,0,1,0,10,6,0,0,0,6,4,0,0,0,4,0,0,0,0,0,2,0,0,0,2,1,0,0,0,1,1,1,0,0,2,19,2,4,6,31,30,1,0,0,31,26,1,0,2,29,3,0,0,0,3,22,0,0,0,22,1,0,0,0,1,3,0,1,1,5,0,1,0,0,1,173,7,8,14,202,Oregon,135,Washington,17,California,12,5
LIBERTY UNIVERSITY,33,2,6,1,42,10,1,1,0,12,2,1,2,0,5,1,0,2,0,3,0,0,0,0,0,1,0,7,12,11,93,1,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,6,0,1,0,7,13,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,11,11,1,0,1,13,2,1,1,0,4,1,0,0,0,1,3,0,0,0,3,0,0,0,0,0,2,0,2,0,4,0,0,0,0,0,46,4,11,1,62,Virginia,30,Florida,4,District Of Columbia,3,0
LINCOLN MEMORIAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virginia,30,Florida,4,District Of Columbia,3,0
LOUISIANA STATE UNIVERSITY,147,0,3,0,150,29,0,1,0,30,12,0,0,0,12,4,0,0,0,4,0,0,0,0,0,5,0,3,10,4,218,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,5,50,0,1,0,51,11,0,1,0,12,11,0,0,0,11,4,0,0,0,4,5,0,0,0,5,8,0,0,0,8,4,0,0,0,4,0,0,0,0,0,34,0,0,0,34,22,0,0,0,22,4,0,0,0,4,7,0,0,0,7,20,0,1,0,21,0,0,0,0,0,7,0,1,0,8,0,0,0,0,0,192,0,4,0,196,Louisiana,157,Texas,10,Georgia,6,1
"LOUISVILLE, UNIVERSITY OF",83,0,0,0,83,19,0,3,0,22,4,0,1,0,5,1,0,1,0,2,0,0,0,0,0,1,2,3,8,2,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,36,0,2,0,38,5,0,0,0,5,3,0,0,0,3,2,0,0,0,2,4,0,0,0,4,3,0,0,0,3,1,0,0,0,1,0,0,0,0,0,20,0,2,0,22,17,0,0,0,17,4,0,0,0,4,3,0,0,0,3,4,0,0,0,4,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,107,0,5,0,112,Kentucky,87,Indiana,5,Florida,4,0
LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,197,22,9,32,260,33,5,8,6,52,5,0,0,0,5,0,0,1,0,1,0,0,0,0,0,5,9,2,55,0,389,3,15,0,24,42,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,5,15,0,25,45,2,0,0,0,2,67,9,8,8,92,26,1,0,1,28,18,0,1,1,20,6,2,1,0,9,8,0,0,0,8,5,0,0,0,5,26,0,0,0,26,0,0,0,0,0,40,5,7,3,55,14,7,0,4,25,8,2,1,17,28,11,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,1,0,4,9,0,0,0,0,0,235,27,18,38,318,California,306,Texas,3,Utah,2,1
LOYOLA UNIVERSITY-CHICAGO,144,15,9,9,177,41,2,2,2,47,14,2,1,0,17,0,0,0,2,2,0,0,0,0,0,8,0,3,28,4,286,0,2,0,4,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,5,7,6,0,1,1,8,52,2,9,2,65,10,0,0,0,10,5,0,0,0,5,5,0,0,0,5,9,0,0,0,9,6,0,0,0,6,20,0,0,0,20,0,0,0,0,0,46,9,1,5,61,21,3,1,0,25,10,2,0,4,16,5,2,0,0,7,3,0,0,0,3,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,199,19,12,13,243,Illinois,194,Michigan,9,California,6,2
LOYOLA UNIVERSITY-NEW ORLEANS,131,1,6,3,141,14,1,1,3,19,11,0,1,2,14,1,0,0,0,1,1,0,0,0,1,5,0,4,61,10,256,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,6,53,0,4,1,58,12,0,0,0,12,14,0,0,0,14,3,0,0,0,3,3,0,0,0,3,0,1,0,0,1,3,0,0,0,3,0,0,0,0,0,22,1,2,2,27,17,0,1,1,19,3,0,0,0,3,10,0,0,0,10,11,0,0,0,11,0,0,0,0,0,1,0,0,0,1,0,0,1,4,5,158,2,8,8,176,Louisiana,133,California,7,Texas,6,0
"MAINE, UNIVERSITY OF",41,4,1,0,46,17,3,2,4,26,3,0,0,1,4,2,0,0,0,2,0,0,0,0,0,1,1,0,16,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,21,2,1,2,26,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,4,0,0,1,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13,1,1,1,16,11,0,0,1,12,2,2,0,0,4,1,0,0,0,1,6,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,7,3,5,78,Maine,59,District Of Columbia,3,Vermont,3,2
MARQUETTE UNIVERSITY,127,2,4,3,136,40,2,1,0,43,14,2,2,0,18,1,1,1,0,3,0,0,0,0,0,2,0,1,23,9,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,8,57,2,1,3,63,21,0,0,0,21,6,0,0,0,6,1,0,0,0,1,8,0,0,0,8,4,0,0,0,4,4,0,0,0,4,0,0,0,0,0,43,4,4,0,51,13,0,1,0,14,9,0,0,0,9,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7,1,0,0,8,0,0,0,0,0,182,7,8,3,200,Wisconsin,144,Illinois,15,Minnesota,5,0
"MARYLAND, UNIVERSITY OF",152,5,1,10,168,45,6,1,2,54,31,1,3,1,36,0,0,0,0,0,0,0,0,0,0,5,1,3,22,2,291,12,0,0,0,12,4,1,1,0,6,1,0,0,0,1,0,0,0,0,0,17,1,1,0,19,1,0,0,0,1,25,0,1,5,31,6,0,0,1,7,5,1,0,0,6,5,0,0,0,5,9,0,0,0,9,7,0,0,1,8,19,0,0,0,19,0,0,0,0,0,43,6,2,4,55,30,0,0,1,31,13,3,0,0,16,6,1,0,0,7,48,0,0,0,48,0,0,0,0,0,10,1,2,0,13,1,0,0,1,2,228,12,5,13,258,Maryland,171,District Of Columbia,35,Virginia,10,2
MCGEORGE SCHOOL OF LAW,117,3,3,8,131,32,4,7,6,49,7,0,3,0,10,2,1,2,3,8,0,0,0,0,0,7,6,1,102,4,318,1,0,0,1,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,5,2,0,1,1,4,43,2,4,6,55,12,0,0,1,13,11,0,0,1,12,7,0,0,0,7,1,0,0,0,1,1,0,0,0,1,3,0,0,0,3,8,0,0,0,8,23,4,6,3,36,29,1,1,2,33,8,1,0,1,10,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,3,0,3,2,8,1,0,0,0,1,158,8,15,17,198,California,174,Nevada,6,Idaho,3,1
"MEMPHIS, UNIVERSITY OF",76,2,4,5,87,6,0,0,2,8,6,1,0,0,7,0,0,1,0,1,0,0,0,0,0,0,1,4,14,2,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4,30,0,0,0,30,7,1,0,0,8,6,0,0,0,6,2,0,0,0,2,2,0,0,0,2,4,0,0,0,4,0,0,0,0,0,0,0,0,1,1,13,1,1,2,17,11,0,1,0,12,1,1,1,2,5,5,0,0,0,5,5,0,0,0,5,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,88,3,5,7,103,Tennessee,88,Arkansas,3,Virginia,3,0
MERCER UNIVERSITY,103,0,3,1,107,10,3,4,2,19,1,0,1,1,3,1,0,0,0,1,0,0,0,0,0,8,0,5,11,3,157,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,1,3,1,0,0,0,1,40,0,4,0,44,12,0,0,0,12,9,0,0,0,9,1,0,0,0,1,5,0,1,0,6,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,10,1,2,3,16,20,0,1,0,21,0,0,0,0,0,4,0,0,0,4,9,0,0,0,9,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,115,3,8,4,130,Georgia,112,Alabama,3,District of Columbia,2,0
"MIAMI, UNIVERSITY OF",265,31,3,4,303,38,7,2,2,49,7,1,3,1,12,3,0,1,0,4,0,0,0,0,0,12,1,17,22,10,430,4,16,0,0,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,16,0,0,21,5,0,0,0,5,96,2,1,2,101,34,1,0,1,36,14,0,0,0,14,10,0,1,0,11,10,0,0,0,10,6,0,0,0,6,27,0,0,0,27,2,0,0,1,3,60,19,7,1,87,36,6,0,0,42,6,9,0,0,15,3,2,0,0,5,3,0,0,0,3,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,313,39,9,7,368,Florida,288,New York,12,Illinois,8,2
MICHIGAN STATE UNIVERSITY,114,3,4,22,143,57,6,17,20,100,6,1,3,0,10,2,0,7,0,9,2,0,1,0,3,10,0,1,21,4,301,0,0,0,22,22,3,1,0,19,23,1,0,0,0,1,0,0,0,0,0,4,1,0,41,46,3,0,0,0,3,48,0,17,0,65,13,1,0,0,14,6,0,0,0,6,6,0,0,0,6,6,0,0,0,6,6,1,0,0,7,2,0,0,0,2,0,0,0,0,0,46,6,8,1,61,26,1,2,4,33,4,0,1,36,41,1,0,0,0,1,5,0,0,0,5,0,0,0,0,0,8,1,3,1,13,1,0,1,0,2,181,10,32,42,265,Michigan,136,Illinois,21,New York,14,9
"MICHIGAN, UNIVERSITY OF",327,13,1,0,341,10,3,2,1,16,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,5,29,2,399,3,9,0,0,12,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,3,10,0,1,14,0,0,0,0,0,11,0,1,0,12,6,0,0,0,6,6,0,0,0,6,7,0,0,0,7,17,1,0,0,18,32,0,0,0,32,148,0,0,0,148,1,1,1,0,3,11,1,1,0,13,28,4,0,0,32,21,7,0,0,28,31,0,0,0,31,17,0,0,0,17,0,0,0,0,0,3,2,0,1,6,0,0,0,0,0,339,16,3,1,359,New York,68,Illinois,61,Michigan,49,10
"MINNESOTA, UNIVERSITY OF",192,36,3,1,232,23,0,0,1,24,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,8,1,274,5,19,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,24,3,0,0,0,3,41,4,1,1,47,10,0,0,0,10,9,0,0,0,9,6,0,0,0,6,13,0,0,0,13,9,0,1,0,10,15,1,0,0,16,0,0,0,0,0,29,11,0,0,40,16,4,0,0,20,17,14,1,1,33,10,0,0,0,10,40,1,0,0,41,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,218,36,3,2,259,Minnesota,174,New York,16,California,10,1
